ts,mode,connections,rate_per_conn,duration_s,sent,acked,nacked,lost,qps,avg_ms,p50_ms,p90_ms,p99_ms,max_ms,cpu_pct,rss_peak_mb
2026-09-24 23:17:53,private-rooms,50,2.0,10.0,1000,1000,0,0,100.0,0.563,0.44,1.026,2.35,4.618,1.2,10.2
2026-09-24 23:18:20,private-rooms,100,5.0,10.0,5000,5000,0,0,500.0,0.696,0.503,1.316,3.564,11.897,5.1,12.4
2026-09-24 23:18:42,tls+private-rooms,50,2.0,10.0,1000,1000,0,0,100.0,0.697,0.537,1.29,3.042,4.772,1.3,18.0
2026-09-24 23:19:09,tls+private-rooms,100,5.0,10.0,5000,5000,0,0,500.0,1.045,0.657,2.121,6.511,13.81,5.8,24.0
2026-09-25 01:26:46,cpp+private-rooms,10,5.00,5.00,0,0,0,0,0.0,0.000,0.000,0.000,0.000,0.000,0.0,0.0
2026-09-25 01:28:57,cpp+private-rooms,10,5.00,5.00,250,250,0,0,50.0,3.566,3.347,4.486,7.739,11.104,0.0,0.0
2026-09-25 01:33:52,cpp+private-rooms,10,5.00,5.00,250,250,0,0,50.0,3.004,3.055,3.946,6.048,6.606,0.6,8.6
2026-09-25 01:35:16,cpp+private-rooms,1,5.00,4.00,20,20,0,0,5.0,0.233,0.239,0.278,0.381,0.398,0.0,0.0
2026-09-25 01:35:23,cpp+private-rooms,4,5.00,4.00,80,80,0,0,20.0,0.258,0.161,0.382,1.829,1.927,0.0,0.0
2026-09-25 01:35:51,cpp+private-rooms,2,5.00,4.00,40,40,0,0,10.0,0.273,0.239,0.331,0.922,1.009,0.0,0.0
2026-09-25 01:35:59,cpp+private-rooms,10,5.00,4.00,200,200,0,0,50.0,1.156,0.608,3.221,3.889,4.090,0.0,0.0
2026-09-25 01:36:06,cpp+private-rooms,10,5.00,4.00,200,200,0,0,50.0,0.442,0.364,0.819,1.884,2.384,0.0,0.0
2026-09-25 01:36:41,cpp+private-rooms,10,5.00,4.00,200,200,0,0,50.0,0.360,0.235,0.776,1.502,1.652,0.0,0.0
2026-09-25 01:36:48,cpp+private-rooms,10,5.00,4.00,200,200,0,0,50.0,0.531,0.347,1.144,2.196,3.228,0.0,0.0
2026-09-25 01:36:56,cpp+private-rooms,10,5.00,4.00,200,200,0,0,50.0,0.410,0.241,0.914,1.859,2.356,0.0,0.0
2026-09-25 01:37:04,cpp+private-rooms,10,5.00,4.00,200,200,0,0,50.0,0.330,0.254,0.483,1.839,2.036,0.1,8.7
2026-09-25 01:37:12,cpp+private-rooms,10,5.00,4.00,200,200,0,0,50.0,0.368,0.266,0.748,1.621,1.798,0.4,8.7
2026-09-25 01:38:21,cpp+private-rooms,50,5.00,8.00,2000,2000,0,0,250.0,3.461,3.526,5.203,6.998,8.345,2.8,10.4
2026-09-25 01:38:43,cpp+private-rooms,100,5.00,8.00,4000,4000,0,0,500.0,4.213,3.881,7.055,13.581,18.739,4.4,12.1
2026-09-25 01:39:15,cpp+private-rooms,200,5.00,8.00,8000,8000,0,0,1000.0,5.821,5.479,9.913,14.062,18.266,8.1,15.7
2026-09-25 01:40:48,cpp+private-rooms,500,5.00,8.00,20000,20000,0,0,2500.0,17.250,15.427,31.799,43.457,57.651,25.3,26.0
2026-09-25 01:42:35,cpp+private-rooms,1000,5.00,8.00,18960,18960,0,0,2370.0,38.879,24.987,82.006,265.259,352.585,35.7,29.1
2026-09-25 01:43:28,cpp+private-rooms,100,0.00,8.00,1575574,0,0,1575574,0.0,0.000,0.000,0.000,0.000,0.000,93.8,43.3
2026-09-25 01:43:54,cpp+private-rooms,200,0.00,8.00,1652750,59497,0,1593253,7437.1,1624.678,591.621,5528.175,7722.120,9082.974,89.8,42.0
2026-09-25 01:46:49,cpp+private-rooms,200,0.00,8.00,1421691,0,0,1421691,0.0,0.000,0.000,0.000,0.000,0.000,0.0,0.0
2026-09-25 01:47:26,private-rooms,50,2.0,10.0,1000,1000,0,0,100.0,2.601,2.56,3.97,6.181,8.967,0.0,2.1
2026-09-25 01:48:37,cpp+private-rooms,50,5.00,4.00,1000,1000,0,0,250.0,1.353,0.605,2.384,16.869,18.061,0.0,0.0
2026-09-25 01:49:43,cpp+private-rooms,50,5.00,5.00,1250,1250,0,0,250.0,0.952,0.642,2.301,4.183,4.396,0.0,0.0
